Date declaration of state of emergency,Extension,Date of Report on derogation of human rights to Human Rights Committee,Date lifting state of emergency,Duration (days),Country,Derogation ICCPR Article 8.3,Derogation ICCPR Article 9.2,Derogation ICCPR Article 9.3,Derogation ICCPR Article 10,Derogation ICCPR Article 12.1,Derogation ICCPR Article 12.2,Derogation ICCPR Article 13,Derogation ICCPR Article 14,Derogation ICCPR Article 17.1,Derogation ICCPR Article 17.2,Derogation ICCPR Article 19.1,Derogation ICCPR Article 19.2,Derogation ICCPR Article 20,Derogation ICCPR Article 21,Derogation ICCPR Article 22.1,Derogation ICCPR Article 22.2,Derogation ICCPR Article 23,Derogation ICCPR Article 24,Derogation ICCPR Article 25,Derogation ICCPR Article 26,Derogation ICCPR Article 27,Source,Declaratory organ,Declaratory person,Region,Trigger,Legal background,News sources,National/subnational,Details,Duration and other limitations of SoE according to consitution or other law,,,,,,,,,,,,,,,,
03/09/2008,Yes,02/09/2008,02/11/2008,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree NO. 060-2008-PCM,  C.N.648.2008.TREATIES-
20 and Treaty Series  Recueil des Traités, Volume 2542",President,Alan García Pérez,"Cholón district, province of Marañón, in Monzón district, province of Huamalíes and in the province of Leoncio Prado, department of Huánuco; the Province of Tocache,
department of San Martín; and the province of Padre Abad, department of Ucayali.",Man-made disaster,Constitution,N/A,sub-national,N/A,"The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
19/08/2008,No,21/08/2008,02/09/2008,15,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 058-2008-PCM,  C.N.647.2008.TREATIES-19 and Treaty Series Volume 2533, I. No. 45203, and Supreme Decree No. 061-2008-PCM,  C.N.649.2008.TREATIES-21 and Treaty Series Volume 2542, I. Nos. 45349-45354",President,Alan García Pérez,"Provinces of Bagua and Utcubamba, Department of Amazonas; the Province of Datem del Marañón, Department of Loreto; and the Echarate district of the Province of La Convención, Department of Cusco.",Man-made disaster,Constitution,http://news.bbc.co.uk/2/hi/americas/7573887.stm,sub-national,"A state of emergency had been declared in Peru after thousands of Amazonian tribes people armed with spears, bows and arrows took over main roads, a hydroelectric dam, and oil and gas installations in the provinces of Cusco, Loreto and Amazonas. The acts that prompted the declaration of a state of emergency have ceased and public calm has been restored, so the SoE has been lifted.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
18/07/2008,Yes,21/07/2008,16/09/2008,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 046-2008-PCM,  C.N.752.2008.TREATIES-
24 and Treaty Series Volume 2542, I. Nos. 45349-45354 ",President,Alan García Pérez,"Provinces of Huanta and La Mar, department of Ayacucho; in the province of Tayacaja, department of Huancavelica; in the Kimbiri, Pichari and Vilcabamba districts
of the province of La Convención, department of Cusco; in the province of Satipo; in the Andamarca and Comas districts of the province of Concepción; and in the Santo
Domingo de Acobamba and Pariahuanca districts of the province of Huancayo, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,N/A,"The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
05/07/2008,Yes,09/07/2008,03/09/2008,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 045-2008-PCM,  C.N.648.2008.TREATIES-20 and Treaty Series Recueil des Traités, Volume 2533",President,Alan García Pérez,"Cholón District in Marañón Province, the Monzón District in Huamalíes Province, and Leoncio Prado Province, all of which are located in the Department of Huánuco; in Tocache Province, Department of San Martín; and in Padre Abad Province, Department of Ucayali.",Man-made disaster,Constitution,N/A,sub-national,N/A,"The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
22/06/2008,No,24/06/2008,06/07/2008,15,Guatemala,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Depositary Notification of Government Decree No. 3-2008, C.N.478.2008.TREATIES-15",President,Álvaro Colom Caballeros,Municipality of San Juan Sacatepéquez in the Department of Guatemala ,Man-made disaster,Constitution,"http://www.elperiodico.com.gt/es/20080623/pais/58635/, http://www.elperiodico.com.gt/es/20080703/pais/60010/",sub-national,"After the murder of community leader Francisco Tepeu and protests againt the operations of a cement company, a state of prevention was declared.","The Political Constitution of the Republic of Guatamala of 1993 states in Chapter IV, Art. 138 that a state of emergency may not be longer than 30 days, although extension is possible. (http://www.wipo.int/wipolex/en/details.jsp?id=7526) ",,,,,,,,,,,,,,,,
19/05/2008,Yes,08/08/2008,18/07/2008,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 038-2008-PCM, C.N.625.2008.TREATIES-18",President,Alan García Pérez,"Provinces of Huanta and La Mar, department of Ayacucho, the province of Tayacaja, department of Huancavelica, the Kimbiri, Pichari and Vilcabamba districts of the province of La Convención, department of Cusco, the province of Satipo, the Andamarca and Comas districts of the province of Concepción and the Santo Domingo de Acobamba and Pariahuanca districts of the province of Huancayo, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,N/A,"The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
07/05/2008,No,09/05/2008,22/05/2008,15,Guatemala,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,"Depositary Notification of Government Decree No. 1-2008,  C.N.379.2008.TREATIES-11",President,Álvaro Colom Caballeros,nation-wide,Man-made disaster,Constitution,N/A,national,Food and fuel supply crisis,"The Political Constitution of the Republic of Guatamala of 1993 states in Chapter IV, Art. 138 that a state of emergency may not be longer than 30 days, although extension is possible. (http://www.wipo.int/wipolex/en/details.jsp?id=7526) ",,,,,,,,,,,,,,,,
06/05/2008,Yes,08/05/2008,05/07/2008,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 033-2008-PCM,  C.N.410.2008.TREATIES-13",President,Alan García Pérez,"Cholón district, province of Marañón, in Monzón district, province of Huamalíes and in the province of Leoncio Prado, department of Huánuco; the Province of Tocache, department of San Martín; and the province of Padre Abad, department of Ucayali.",Man-made disaster,Constitution,N/A,sub-national,N/A,"The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
20/03/2008,Yes,08/08/2008,19/05/2008,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 021-2008-PCM, as found in C.N.625.2008.TREATIES-18",President,Alan García Pérez,"Provinces of Huanta and La Mar, department of Ayacucho, the province of Tayacaja, department of Huancavelica, the Kimbiri, Pichari and Vilcabamba districts of the province of La Convención, department of Cusco, the province of Satipo, the Andamarca and Comas districts of the province of Concepción and the Santo Domingo de Acobamba and Pariahuanca districts of the province of Huancayo, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,N/A,"The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
06/03/2008,Yes,12/03/2008,05/05/2008,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 019-2008-PCM,  C.N.187.2008.TREATIES-7",President,Alan García Pérez,"Cholón district, province of Marañón, Monzon district, province of Huamalíes, and the province of Leoncio Prado, department of Huánuco, Tocache province, department of San Martin, and the province of Padre Abad, department of Ucayali.",Man-made disaster,Constitution,N/A,sub-national,N/A,"The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
01/03/2008,No,06/03/2008,21/03/2008,20,Armenia,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,"Depositary Notification of NH-35-N Decree, C.N.185.2008.TREATIES-6, amended by decree NH-36-N, C.N.242.2008.TREATIES-8",President,Robert Kocharyan,City of Yerevan,Man-made disaster,Consitution,"http://news.bbc.co.uk/2/hi/europe/7273428.stm, http://news.bbc.co.uk/2/hi/europe/7306859.stm",sub-national,"Protests had continued for 11 days over alleged election fraud, which gave a convincing win to PM Serzh Sarkisian. However, international observers believed the election to be generally democratic. The protesters clashed with the police, which led to fatalities. ",The Constitution of 1995 gives no specification on the duration of a state of emergency (http://www.wipo.int/wipolex/en/text.jsp?file_id=178763).,,,,,,,,,,,,,,,,
21/02/2008,No,21/02/2008,28/02/2008,7,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 012-2008-PCM, C.N.152.2008.TREATIES-5 and Report of the Human Rights Committee (Volume I) 01/10/2008, A/63/40(VOL. I) ",President,Alan García Pérez,"Provinces of Huaura, Huaral and Barranca, Department of Lima, in the Provinces of Huarmey, Casma and Santa, Department of Ancash, in the Province of Virú, Department of
La Libertad.",Man-made disaster,Constitution,http://articles.washingtonpost.com/2008-02-20/world/36810234_1_palestinian-negotiator-saeb-erekat-raila-odinga-share-power,sub-national,"Farmers called the nationwide protest to push for state subsidies as part of a free trade agreement with the United States, for lower prices for fertilizers and for a halt to farm seizures by banks. Around a thousand busses are stranded after road blockades by the protesters. There are at least 4 fatalities and 700 people arrested. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
20/01/2008,Yes,12/02/2008,21/03/2008,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 005-2008-PCM, C.N.133.2008.TREATIES-3
",President,Alan García Pérez,"Provinces of Huanta and La Mar, department of Ayacucho, the province of Tayacaja, department of Huancavelica, the Kimbiri, Pichari and Vilcabamba districts of the province of La Convención, department of Cusco, the province of Satipo, the Andamarca and Comas districts of the province of Concepción and the Santo Domingo de Acobamba and Pariahuanca districts of the province of Huancaya, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,N/A,"The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
29/12/2007,Yes,02/01/2008,27/02/2008,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decee No. 099-2007-PCM, C.N.50.2008.TREATIES-1 and Report of the Human Rights Committee (Volume I) 01/10/2008, A/63/40(VOL. I) and Treaty Series Volume 2492",President,Alan García Pérez,"Districts of San Buenaventura and Cholón, Province of Marañón, in the Province of Leoncio Prado and in the District of Monzón, Province of Huamalíes, Department of Huánuco, in the Province of Tocache, Department of San Martín, the Province of Padre Abad, Department of Ucayali.",Man-made disaster,Constitution,N/A,sub-national,N/A,"The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
08/11/2007,No,08/11/2007,23/11/2007,15,Georgia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Depositary Notification of Order No. 621 and Decree N. 1, C.N.1122.2007.TREATIES-52, also found in Report of the Human Rights Committee (Volume I) 01/10/2008, A/63/40(VOL. I) and Treaty Series Recueil des Traités, volume 2482, I. Nos. 44563-44568",President,Michail Saakashvili,Tbilisi,Man-made disaster,Constitution,http://www.guardian.co.uk/world/2007/nov/08/russia.georgia,national,"According to the government, an obvious attempt of the coup d’état, disobedience to the legitimate demands of the law enforcement authorities and violent resistance have taken place and acquired massive character, leading to the declaration of a state of emergency. The state of emergency is limited to 15 days, as the published document of the state of emergency states. Within 48 hours the Decree will be submitted to the Parliament of Georgia for approval",The Constitution of 1995 gives no specification on the duration of a State of Emergency in art. 46 or art. 73(h) (http://www.wipo.int/wipolex/en/details.jsp?id=7523).,,,,,,,,,,,,,,,,
30/10/2007,Yes,02/01/2008,29/12/2007,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 086-2007-PCM, as found in C.N.50.2008.TREATIES-1 ",President,Alan García Pérez,"Districts of San Buenaventura and Cholón, Province of Marañón, in the Province of Leoncio Prado and in the District of Monzón, Province of Huamalíes, Department of Huánuco, in the Province of Tocache, Department of San Martín, the Province of Padre Abad, Department of Ucayali.",Man-made disaster,Constitution,N/A,sub-national,N/A,"The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
31/08/2007,Yes,13/09/2007,30/10/2007,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 077-2007-PCM, C.N.899.2007.TREATIES-34",President,Alan García Pérez,"Provinces of Marañón, Huacaybamba, Leoncio Prado and Huamalíes, department of Huánuco, the province of Tocache, department of San Martín, and the province of Padre Abad, department of Ucayali.",Man-made disaster,Constitution,N/A,sub-national,"The state of emergency is due to expire, but the conditions that led to its declaration in those provinces and districts still persist, according to the government. Therefore, the SoE was extended.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
19/08/2007,No,24/08/2007,24/08/2007,6,Jamaica,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of the Proclamation of a State of Public Emergency, C.N.832.2007.TREATIES-16, lifted in Depositary Notification C.N.838.2007.TREATIES-17",Governor-General,Kenneth Octavius Hall,nation-wide,Natural disaster,Constitution,http://www.guardian.co.uk/world/2007/aug/21/weather.naturaldisasters,national,"Hurricane Dean has an extensive impact on Jamaica, leading to floodings. According to the goverment, hurricane Dean was an extremely powerful storm which created a threat to public safety, caused severe damage to infrastructure and resulted in loss of life, and threatened to deprive a substantial section of the community of supplies and services essential to life.",The Constitution of 1962 states in Art. 26.6 that a proclamation of Emergency may last for one month and can be extended by one month up to a total of 12 months (http://www.wipo.int/wipolex/en/details.jsp?id=8855).,,,,,,,,,,,,,,,,
24/07/2007,Yes,26/07/2007,22/09/2007,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 065-2007-PCM, C.N.809.2007.TREATIES-
14  ",President,Alan García Pérez,"Provinces of Huanta and La Mar, Department of Ayacucho, the province of Tayacaja, Department of Huancavelica, the districts of Kimbiri, Pichari and Vilcabamba of the province of La Convención, Department of Cusco, the province of Satipo, the Andamarca and Comas districts of the province of Concepción and the Santo Domingo de Acobamba and Pariahuanca districts of the province of Huancayo, Department of Junín.",Man-made disaster,Constitution,N/A,sub-national,"The state of emergency is due to expire, but the conditions that led to its declaration in those provinces and districts still persist, according to the government. Therefore, the SoE was extended.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
02/07/2007,Yes,11/07/2007,31/08/2007,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree 056-2007-PCM, C.N.808.2007.TREATIES-13 ",President,Alan García Pérez,"Provinces of Marañón, Huacaybamba, Leoncio Prado and Huamalíes, department of Huánuco, the province of Tocache, department of San Martín, and the province of Padre Abad, department of Ucayali. ",Man-made disaster,Constitution,N/A,sub-national,"The state of emergency is due to expire, but the conditions that led to its declaration in those provinces and districts still persist, according to the government. Therefore, the SoE was extended.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
25/05/2007,No,11/06/2007,01/06/2007,7,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree no. 045-2007-PCM, C.N.657.2007.TREATIES-9 and Treaty Series Volume 2444",President,Alan García Pérez,"Santa Anita district of the province of Lima, Department of Lima.",Man-made disaster,Constitution,http://news.bbc.co.uk/2/hi/americas/6700143.stm,sub-national,"Police evicted people from a market site, which the government contends comprised of illegal traders. According to the authorities it was an illegal occupation of public land , which the authorities wanted restored to its original state. Tensions grew by the day as the tradespeople blocked the gates of the walled market, and the authorities accused them of using their children as human shields. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
25/05/2007,Yes,06/06/2007,24/07/2007,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 044-2007-PCM,  C.N.699.2007.TREATIES-10",President,Alan García Pérez,"Provinces of Huanta and La Mar, Department of Ayacucho; the Province of Tayacaja, Department of Huancavelica; the Province of La Convención, Department of Cusco; the Province of Satipo; the Andamarca and Comas districts of the Province of Concepción and the Santo Domingo de Acobamba and Pariahuanca districts of the Province of Huancayo, Department of Junín.",Man-made disaster,Constitution,N/A,sub-national,"The state of emergency is due to expire, but the conditions that led to its declaration in those provinces and districts still persist, according to the government. Therefore, the SoE was extended.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
18/04/2007,Yes,11/07/2007,17/06/2007,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 039-2007-PCM, as found in C.N.808.2007.TREATIES-13",President,Alan García Pérez,"Provinces of Marañón, Huacaybamba, Leoncio Prado and Huamalíes, department of Huánuco, the province of Tocache, department of San Martín, and the province of Padre Abad,
department of Ucayali.",Man-made disaster,Constitution,N/A,sub-national,N/A,"The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
01/04/2007,Yes,05/04/2007,15/04/2007,15,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 030-2007-PCM,  C.N.521.2007.TREATIES-5 and Treaty Series Volume 2427",President,Alan García Pérez,"Arequipa, province of Islay, district of Cocachacra.",Man-made disaster,Constitution,N/A,sub-national,The conditions that led to the first declaration still persist ,"The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
26/03/2007,Yes,30/03/2007,25/05/2007,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 026-2007-PCM, C.N.519.2007.TREATIES-3
 and Treaty Series Volume 2422",President,Alan García Pérez,"Provinces of Huanta and La Mar, department of Ayacucho, the province of Tayacaja, department of Huancavelica, the province of La Convención, department of Cusco, the province of Satipo, Andamarca district of the province of Concepción, and Santo Domingo de Acobamba district of the province of Huancayo, department of Junín. As well as in the Comás district of the province of Concepción and in the Pariahuanca district of the province of Huancayo, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,"The state of emergency is due to expire, but the conditions that led to its declaration in those provinces and districts still persist, according to the government. Therefore, the SoE was extended.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
02/03/2007,No,30/03/2007,01/04/2007,30,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 016-2007-PCM,  C.N.520.2007.TREATIES-4 ",President,Alan García Pérez,"Department of Arequipa, province of Islay, district of Cocachacra.",Man-made disaster,Constitution,N/A,sub-national,N/A,"The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
17/02/2007,Yes,21/02/2007,18/04/2007,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 011-2007-PCM,  C.N.518.2007.TREATIES-2",President,Alan García Pérez,"Provinces of Marañón, Huacaybamba, Leoncio Prado and Huamalíes, department of Huánuco, the province of Tocache, department of San Martín, and the province of Padre Abad,
department of Ucayali.",Man-made disaster,Constitution,N/A,sub-national,N/A,"The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
25/01/2007,Yes,24/01/2007,26/03/2007,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 005-2007-PCM, C.N.82.2007.TREATIES-1 ",President,Alan García Pérez,"Provinces of Huanta and La Mar, department of Ayacucho, the province of Tayacaja, department of Huancavelica, the province of La Convención, department of Cusco, the province of Satipo, Andamarca district of the province of Concepción, and Santo Domingo de Acobamba district of the province of Huancayo, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,"The state of emergency is due to expire, but the conditions that led to its declaration in those provinces and districts still persist, according to the government. Therefore, the SoE was extended.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
06/12/2006,No,12/12/2006,05/01/2007,30,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 086-2006-PCM,  C.N.1268.2006.TREATIES-26",President,Alan García Pérez,"Province of Abancay, department of Apurima.",Man-made disaster,Constitution,http://news.bbc.co.uk/2/hi/americas/6215874.stm,sub-national,"According to the government,  numerous inhabitants of the city of Abancay are perpetrating serious acts of violence in that locality, in protest against the regional government of Apurimac, causing many injuries and considerable material damage. Police officers and civilians alike were injured. Protesters ask for dismissal of the regional governor. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
26/11/2006,Yes,01/12/2006,25/01/2007,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 085-2006-PCM, C.N.1195.2006.TREATIES-25",President,Alan García Pérez,"Provinces of Huanta and La Mar, Department of Ayacucho; in the Province of Tayacaja, Department of Huancavelica; in the Province of La Convención, Department of Cusco; in the Province of Satipo, Andamarca District of the Province of Concepción; and in the Santo Domingo de Acobamba District of the Province of Huancayo, Department of Junín.",Man-made disaster,Constitution,N/A,sub-national,"The state of emergency is due to expire, but the conditions that led to its declaration in those provinces and districts still persist, according to the government. Therefore, the SoE was extended.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
